Sum of PRICE,Column Labels,,,,
Row Labels,CDS 10Y,CDS 1Y,CDS 3Y,CDS 5Y,CDS 7Y
01/01/2008,211.1,93.1,122.9,153.5,180.9
02/01/2008,213.7,94.7,125,156.1,183.5
03/01/2008,223,101.8,134.4,167.8,190.7
04/01/2008,224.5,106.3,140.3,175.2,196.6
07/01/2008,238.2,108,143,184.8,212.4
08/01/2008,239.6,105.8,142,184.6,212.9
09/01/2008,246.2,105,143,193.1,222.9
10/01/2008,262.7,107.5,149.3,207.1,218.8
11/01/2008,256,110.2,152,205.5,235.5
14/01/2008,261.8,112.4,155,205.8,236.6
15/01/2008,260,106.8,154.5,206,227.7
16/01/2008,270,120,162,214,233
17/01/2008,265.7,115,162.7,213.5,237
18/01/2008,278.1,122,165,219,248.2
21/01/2008,288.8,122,172,236.8,270.1
22/01/2008,298,122,172,236.8,272.9
23/01/2008,292.7,131.2,185,239.8,270.4
24/01/2008,278.3,119,177,222.4,250.8
25/01/2008,258,117.5,160,202.7,230.8
28/01/2008,270.8,113.5,168,216.8,239
29/01/2008,259.5,110.2,160.8,206.7,230
30/01/2008,257.8,109.7,160,205.2,233
31/01/2008,263,111.5,165,213,235
01/02/2008,261.2,112.5,162.7,209.5,233.3
04/02/2008,254.3,109.5,157.3,205.8,228
05/02/2008,258.4,109.5,160.3,213.4,228
06/02/2008,272.5,111.5,170,223.2,251.9
07/02/2008,284.1,117.3,178.8,234.8,263.5
08/02/2008,284.2,117.3,178.9,234.9,263.6
11/02/2008,292.2,125.2,191,242.4,270.5
12/02/2008,293,115,190,243.2,271.3
13/02/2008,293.5,116.2,189,242,270.5
14/02/2008,284.3,113.8,185.2,232.2,259.6
15/02/2008,287,107.5,182,238.8,267.6
18/02/2008,289,107.5,186,240.4,268.4
19/02/2008,290.3,107.5,185,239.8,268.5
20/02/2008,296.5,106.2,186,245,275.1
21/02/2008,292,105.1,188,242.2,270.2
22/02/2008,295.3,97.5,177,244.1,277.1
25/02/2008,281.5,107.5,182.5,232.9,259.5
26/02/2008,275.7,95,165,228.2,258.9
27/02/2008,277.5,92.2,172,233.2,265.4
28/02/2008,286,100,181.5,235.9,264.3
29/02/2008,292,99,186.5,245.2,262
03/03/2008,297.7,100,192,244.8,273.2
04/03/2008,291.3,100,185.5,239.5,263
05/03/2008,292.8,98.3,181.7,237.7,259.5
06/03/2008,290.3,95.3,179,242.2,257.5
07/03/2008,293.1,99.8,187.4,253.6,261.5
10/03/2008,313.5,104,195.5,264.5,296.9
11/03/2008,318.5,107.7,202.5,254.7,280.2
12/03/2008,302,105,185,250,281.7
13/03/2008,310.7,105,193,265.7,297.6
14/03/2008,317.1,105,196.8,264.2,288
17/03/2008,327,105,191.9,274.1,297.9
18/03/2008,311.3,105,198,248.1,278.8
19/03/2008,298.7,95,181,240,271.8
20/03/2008,304.2,99.4,189.3,255,286
21/03/2008,304.2,99.4,189.3,255,286
24/03/2008,295.4,96,182.9,246.8,277.6
25/03/2008,282,87.8,169.6,229.5,260.3
26/03/2008,291.3,93,172.5,238.5,271.3
27/03/2008,293.2,105,185,238.7,268.3
28/03/2008,294.8,103,182,239.2,270.3
31/03/2008,302.1,102,185,245.1,267.9
01/04/2008,300,103,185,239.2,271
02/04/2008,291.2,95,175,234.7,266.5
03/04/2008,289.5,97.2,179,238.5,268.6
04/04/2008,290,97.5,179.5,239.2,269.4
07/04/2008,286.5,93.7,172.4,229.8,261.2
08/04/2008,290.3,95,165,236,271.2
09/04/2008,295,95,170.2,241.6,276.2
10/04/2008,299.2,95,174.4,249.7,284.2
11/04/2008,299.8,93.2,171.1,245,266.9
14/04/2008,309,96.7,177.5,254.2,290.6
15/04/2008,308.5,94.7,173.9,249,286.6
16/04/2008,302.5,97.5,175.2,248.8,284.1
17/04/2008,291.8,95.8,170,234.8,268.7
18/04/2008,286,86.6,153.7,212.3,249.7
21/04/2008,261.2,85,151.6,214.7,245.2
22/04/2008,277,85,165,225.2,255.9
23/04/2008,282.8,85.7,166.4,229.9,261.8
24/04/2008,286.8,86.3,167.5,231,264.3
25/04/2008,276.2,92,167,220.7,249
28/04/2008,268.5,88.9,161.3,212.2,242
29/04/2008,271.7,88.6,160.7,221.8,242.5
30/04/2008,279.8,88,168.5,225.5,253
01/05/2008,270,84.2,161.2,215.7,243.2
02/05/2008,265.5,85,155,210.2,240.9
05/05/2008,268,87.2,159,219.7,249.9
06/05/2008,286,92,167.8,231.8,264.5
07/05/2008,285,93.8,170,238.9,270.3
08/05/2008,298,92,175,241.2,274.9
09/05/2008,297.8,92,180,247.2,279.3
12/05/2008,296.3,91.4,178.9,245.7,277.8
13/05/2008,294,92,180,240.8,272
15/05/2008,289.7,92,178,233.8,264.2
16/05/2008,280.8,88,170,220.8,251.1
19/05/2008,272.9,84.9,163.9,212.9,243.2
20/05/2008,267.5,85,155,219.8,250.9
21/05/2008,272.9,86.5,158,222.1,254
22/05/2008,281.5,90.7,167.7,232.8,264
23/05/2008,286.5,90,160,238.3,256
26/05/2008,297,92.3,164,244.3,281.3
27/05/2008,298.8,114.6,187.8,251.2,281.9
28/05/2008,298.4,110.1,180.4,241.3,274.3
29/05/2008,301.5,98,174.3,247,281.9
30/05/2008,308.2,101.7,180.9,256.3,291.7
02/06/2008,311.3,103.2,183.7,260.2,295.6
03/06/2008,316,102.5,184.8,262.5,298.8
04/06/2008,313,103.1,185.7,263.7,298.8
05/06/2008,318.5,102.9,185.3,263.2,300.1
06/06/2008,316.2,103.3,186,264.2,300
09/06/2008,323.5,106.2,191.1,271.5,307.3
10/06/2008,329.2,108,194.3,276,313.2
11/06/2008,327,110,206,272,298.5
12/06/2008,326.7,115,214,269.8,299.2
13/06/2008,323.6,112,203,267.4,300.4
16/06/2008,315,109,197.6,260.3,292.6
17/06/2008,313.6,106.5,192.9,254.2,287.4
18/06/2008,305.2,105.5,191,253.3,284.5
19/06/2008,308.5,104.9,190,254.5,287
20/06/2008,316.3,110,198,269.7,295
23/06/2008,329,106,189.5,268.1,307
24/06/2008,325,114.8,205,270.8,303.5
25/06/2008,326.2,119.8,202.1,268.4,296.3
26/06/2008,324.7,110,199.5,276.2,297.8
27/06/2008,335.5,113.7,206.2,285.5,302.5
30/06/2008,341.1,132.5,210,285.5,309.5
01/07/2008,346.8,135.1,214.2,291.2,315.2
02/07/2008,345.7,114.5,213.8,290.9,314
03/07/2008,351.3,118.3,220.9,300.6,313.5
04/07/2008,353,120.5,225,298.2,333
07/07/2008,363,123.2,230,304.8,341.3
08/07/2008,362.9,112.5,235,306.4,331.7
09/07/2008,356,127.5,230,296.2,328
10/07/2008,352.3,127.5,230,296,321
11/07/2008,342.8,125.5,225,286.9,329.7
14/07/2008,331,122.5,214,279.5,301
15/07/2008,344,127.5,223,291.6,312.5
16/07/2008,343.2,127.7,220,281,312.7
17/07/2008,328.5,122,211,275.2,296
18/07/2008,332.9,122.5,211,273.8,302.8
21/07/2008,316.9,112.5,202,260.5,284.9
22/07/2008,318,109.5,197.5,261,293.9
23/07/2008,294.4,101,182.3,241.1,263.9
24/07/2008,296.2,120,175,249,264
25/07/2008,299.2,111.9,188.1,242.4,265.5
28/07/2008,309.7,104.6,176,240.5,270.3
29/07/2008,300,106.9,180,242.7,282.9
30/07/2008,289.2,103.9,175.1,235.3,260.5
31/07/2008,294.8,105.1,177.2,240.3,260.8
01/08/2008,300,103.3,183,246.8,269.2
04/08/2008,301,105.4,187,252,265.4
05/08/2008,301,107.5,183.7,244.6,276.3
06/08/2008,306.7,105.5,180,244.8,281.1
07/08/2008,314.9,107.5,184.7,251.4,288.7
08/08/2008,317.4,107.5,185.7,253.2,290.9
11/08/2008,310.8,107.5,190,252.5,286.7
12/08/2008,303.2,107.5,188,250.8,281.4
13/08/2008,304.9,105,190,251.8,282.8
14/08/2008,306.7,104.6,189.3,252.5,277
15/08/2008,305,104.9,190,248.8,275
18/08/2008,301,104.9,190.2,249.1,285.1
19/08/2008,304,107.5,187.5,257.5,339.1
20/08/2008,310.5,114.7,193,257.1,311
21/08/2008,312.5,110.5,193,260.5,296.7
22/08/2008,313.5,111.1,194,257.2,291.4
25/08/2008,309.2,107.5,191,255.8,290.6
26/08/2008,312.2,103.3,191,262.4,300.1
27/08/2008,316,106.5,197,263.2,298.2
28/08/2008,317,108.1,200,262.8,296
29/08/2008,315,107.5,197,261.4,295.5
01/09/2008,317,108.5,199,263.6,297.8
02/09/2008,317,108.9,200,259.3,290.9
03/09/2008,315,107.5,194,260.1,294.5
04/09/2008,314.8,107.5,195.5,264.4,299.7
05/09/2008,323.2,105,197,272.7,311.3
08/09/2008,314,98.2,184.5,255.4,292.6
09/09/2008,315.5,103.9,195.2,270,307.8
10/09/2008,320.8,103,193.8,268.2,306.4
11/09/2008,323.5,107.9,203,272.8,308.1
12/09/2008,325,108.9,205,276.3,312.1
15/09/2008,358.8,120.8,227.4,304.8,343.4
16/09/2008,376.3,126.7,238.7,320,360.4
17/09/2008,393.8,132.9,250.2,335,377.1
18/09/2008,383.1,128.9,243.1,325.8,366.9
19/09/2008,315,113.3,214.1,287.5,322.1
22/09/2008,337.1,124.8,226.1,304.2,342.1
23/09/2008,360.1,133.8,242,325,365
24/09/2008,361,134.1,242.6,325.8,365.9
25/09/2008,368.2,136.8,247.6,332.3,373.2
26/09/2008,372.6,138.5,250.6,336.3,377.5
29/09/2008,388.6,144.6,261.9,351,393.6
30/09/2008,407.5,147.1,267,358,402.5
01/10/2008,404.1,146.1,265,355.1,399.1
02/10/2008,448,162.8,294.9,394.2,442.2
03/10/2008,484.3,176.7,319.9,426.7,477.9
06/10/2008,546.4,357.5,450.6,520,552.5
07/10/2008,534.9,349.4,440.9,509.2,541.3
08/10/2008,637.7,419.1,527.5,607.1,643.8
09/10/2008,641.5,421.9,531,610.8,647.5
10/10/2008,911.5,450,669.2,905.8,909.2
13/10/2008,925,396.9,593.5,810.8,882.3
14/10/2008,781.7,324.8,488.8,676.7,741
15/10/2008,775,369.5,554.1,760,768.8
16/10/2008,821.6,396.2,593.3,810.4,817
17/10/2008,846.1,409.2,612.1,834.2,841.3
20/10/2008,833.2,401.6,602.1,822.1,828.7
21/10/2008,871.5,421.8,631.4,859.2,866.5
22/10/2008,955.2,810.2,1018.4,1066.7,1003.5
23/10/2008,1140.6,961.1,1201.6,1256.7,1190.7
24/10/2008,1295,951.8,1190.4,1245,1276.6
27/10/2008,1275,882.1,1106.8,1158.3,1234.9
28/10/2008,1118.9,741.5,935.6,980.4,1070.5
29/10/2008,1061.1,698.2,882.4,925,1012.9
30/10/2008,790,500.9,638.2,670,744.4
31/10/2008,829.9,529.4,673.7,707.1,783.7
03/11/2008,701.7,439.7,561.8,590,658.5
04/11/2008,611.9,378.7,485.1,509.6,571.6
05/11/2008,515,442.2,565.4,593.8,549.1
06/11/2008,625,475.9,608,638.3,630.6
07/11/2008,610,462.5,591.3,620.8,614.5
10/11/2008,551.2,417.4,534.9,561.7,555.6
11/11/2008,628.2,476.1,609,639.2,632.8
12/11/2008,716.6,543.7,693.9,727.9,721.3
13/11/2008,810.6,615.7,784,822.1,815.3
14/11/2008,803.6,610.4,777.3,815,808.3
17/11/2008,846.7,643.3,818.8,858.3,851.4
18/11/2008,935.2,711.5,903.7,946.7,939.9
19/11/2008,938.4,713.8,906.7,950,943.1
20/11/2008,971.6,739.3,938.8,983.3,976.3
21/11/2008,1020,688.8,876.8,918.8,982.3
24/11/2008,875,622.7,795,833.3,858.4
25/11/2008,780,582,744,780,780
26/11/2008,760,545.8,699.2,733.3,749.2
27/11/2008,725.9,520.3,667.3,700,715.3
28/11/2008,737.7,529.2,678.6,711.7,727.1
01/12/2008,712.5,549.4,704.6,739.9,723.6
02/12/2008,743.9,573.6,735.4,771.1,755.3
03/12/2008,770.6,573.8,735.9,771.5,771
04/12/2008,778.6,584.7,749.7,785.9,781.7
05/12/2008,788.3,595.9,763.9,800.7,793.4
08/12/2008,763.5,576.8,740.4,776.1,768.7
09/12/2008,714.9,539.7,693.8,727.3,720.1
10/12/2008,717.8,541.8,696.7,730.4,723
11/12/2008,677.6,511.1,658.2,690.1,682.8
12/12/2008,710.5,536,690,723.3,715.9
15/12/2008,690.9,520.9,671.5,703.8,696.3
16/12/2008,672.1,506.6,653.5,685,677.5
17/12/2008,646.3,487,628.8,659.2,651.7
18/12/2008,650,476.1,615.3,645.1,648
19/12/2008,647.4,487.5,618.5,648.4,647.9
22/12/2008,640.7,478.8,606.6,638.3,639.7
23/12/2008,642.8,480.3,608.7,640.4,641.8
24/12/2008,622.2,464.7,589.3,620.1,621.3
25/12/2008,622.2,464.7,589.3,620.1,621.3
26/12/2008,622.2,464.7,589.3,620.1,621.3
29/12/2008,632.9,472.6,599.5,630.8,632
30/12/2008,657.2,490.9,622.7,655,656.3
31/12/2008,640.3,478,606.8,638.3,639.5
01/01/2009,640.3,478,606.8,638.3,639.5
02/01/2009,635.1,474.1,601.9,633.1,634.3
05/01/2009,626,467.1,593.5,624.2,625.3
06/01/2009,608.2,453.5,576.6,606.5,607.5
07/01/2009,555,413.3,526.4,553.9,554.6
08/01/2009,571.6,427.9,544.9,573.2,572.3
09/01/2009,575.8,415.9,530.1,557.8,567.8
12/01/2009,555,418.8,534.1,561.9,558
13/01/2009,555,434.3,553.7,582.4,566.8
14/01/2009,586.1,458.6,584.3,614.4,598.3
15/01/2009,615.8,481.7,613.3,644.9,628.3
16/01/2009,599.2,468.8,597.2,628,611.6
19/01/2009,579.8,453.4,578.5,608.2,592
20/01/2009,615,465.7,593.9,624.3,619
21/01/2009,638.2,480.7,612.8,644.2,640.8
22/01/2009,632.7,469,598.2,628.7,631.1
23/01/2009,630,483.9,616.9,648.3,637.8
26/01/2009,621.1,476.8,608.5,639.4,628.9
27/01/2009,606.9,465.8,594.7,625,614.6
28/01/2009,596,457.4,584.4,614.2,603.8
29/01/2009,586.7,450.1,575.4,604.6,594.3
30/01/2009,605,461,588.9,618.8,610.9
02/02/2009,617.5,467.4,597.3,627.5,621.8
03/02/2009,617.5,448.6,573.9,603,611.5
04/02/2009,601.3,436.5,558.7,587,595.4
05/02/2009,601.2,451.7,577.9,607.1,603.8
06/02/2009,594.6,433.6,557.2,585.6,590.8
09/02/2009,594.6,433.4,557.4,585.7,590.9
10/02/2009,614.2,447.9,575.8,605,610.4
11/02/2009,586.5,439.4,565.3,594.1,589.8
12/02/2009,588,439,564.9,593.7,590.5
13/02/2009,589.1,439.8,566,594.8,591.6
16/02/2009,611.1,456.4,586.9,616.7,613.5
17/02/2009,662,494.8,635.6,667.7,664.5
18/02/2009,674.5,497.7,639.6,671.9,673.4
19/02/2009,640.1,472.1,607.1,637.9,639.2
20/02/2009,655,491.3,631.7,663.6,658.7
23/02/2009,648.86,486.51,626.04,657.58,652.59
24/02/2009,650,484.04,623.08,654.44,651.92
25/02/2009,645,478.14,615.72,646.67,645.74
26/02/2009,636,654.5,652,648.93,641.44
27/02/2009,635.9,658.1,652,656.86,644.77
02/03/2009,674.18,718.78,712.13,712.63,690.49
03/03/2009,690,717.8,711.15,711.66,699.13
04/03/2009,696.1,699.65,693.15,693.65,695.08
05/03/2009,695,705.64,699.07,699.58,696.92
06/03/2009,697.5,708.05,701.46,701.97,699.38
09/03/2009,700.46,710.98,704.34,704.86,702.31
10/03/2009,679.35,705,680.72,682.66,680.74
11/03/2009,680,690,676.85,673.15,677.13
12/03/2009,662.5,680,671.24,668.24,664.9
13/03/2009,659.06,666.27,657.36,654.17,662.27
16/03/2009,625.97,635.78,627.22,624.17,628.17
17/03/2009,625,631.57,623.04,620,628.28
18/03/2009,635.15,636.66,628.07,625,640.07
19/03/2009,618.37,619.83,611.44,608.44,623.26
20/03/2009,633.66,635.13,627.28,624.17,638.4
23/03/2009,605.41,606.78,599.25,596.26,610.04
24/03/2009,588.95,590.27,582.91,580,593.51
25/03/2009,578.84,580.12,572.88,570,583.49
26/03/2009,555.5,566.89,559.79,556.97,556.67
27/03/2009,543.53,557.72,550.72,547.95,543.66
30/03/2009,590.26,605.57,597.99,595,590.41
31/03/2009,570.37,585.23,577.87,574.98,570.51
01/04/2009,564.35,579.08,571.79,568.92,564.48
02/04/2009,517.32,530.92,524.2,521.55,517.41
03/04/2009,516.85,530.45,523.72,521.08,516.95
06/04/2009,500,517.625,511.035,508.445,503.62
07/04/2009,500,546.295,539.355,536.635,515.82
08/04/2009,495.57,540.27,533.39,530.7,510.735
09/04/2009,510.335,508.185,515.71,518.65,513.9
10/04/2009,510.3,508.2,515.7,518.6,513.9
13/04/2009,504.26,502.195,509.635,512.5,507.835
14/04/2009,484.38,482.13,489.325,492.055,487.67
15/04/2009,472.815,470.655,477.69,480.36,476.05
16/04/2009,450.06,448.07,454.79,457.34,453.185
17/04/2009,442.1,440.17,446.785,449.295,445.19
20/04/2009,465,457.605,464.485,467.085,465.9
21/04/2009,472.14,470.265,477.335,480,475.505
22/04/2009,471.885,470.005,477.065,479.73,475.245
23/04/2009,452.125,450.365,457.15,459.71,455.375
24/04/2009,441.59,439.9,446.545,449.045,444.79
27/04/2009,450.755,448.995,455.785,458.33,454.005
28/04/2009,450.17,448.43,455.225,457.775,453.43
29/04/2009,428.35,426.71,433.2,435.625,431.47
30/04/2009,402.105,400.625,406.735,409.015,405.08
01/05/2009,396.145,394.69,400.72,402.97,399.075
04/05/2009,371.365,370.035,375.725,377.835,374.145
05/05/2009,343.925,342.75,348.035,350,346.53
06/05/2009,328.795,327.7,332.765,334.655,331.31
07/05/2009,307.34,303.545,308.25,310,308.485
08/05/2009,306.25,310.545,315.36,317.15,310.93
11/05/2009,336.465,341.075,346.365,348.32,341.545
12/05/2009,340.515,345.215,350.575,352.55,345.675
13/05/2009,343.065,347.78,353.18,355.17,348.25
14/05/2009,372.905,377.925,383.79,385.945,378.49
15/05/2009,365.94,370.9,376.67,378.785,371.44
18/05/2009,364.65,369.59,375.355,377.46,370.135
19/05/2009,335.83,340.475,345.805,347.75,340.935
20/05/2009,319.24,323.715,328.795,330.65,324.12
21/05/2009,319.49,323.98,329.07,330.93,324.38
22/05/2009,316.22,320.615,325.66,327.49,321.04
25/05/2009,303.21,307.455,312.305,314.07,307.845
26/05/2009,316.755,321.135,326.2,328.035,321.57
27/05/2009,310.07,314.325,319.295,321.085,314.77
28/05/2009,319.21,323.475,328.575,330.415,323.985
29/05/2009,325.29,329.585,334.795,336.665,330.13
01/06/2009,322.5,298.55,303.295,305,315.115
02/06/2009,310.015,287.02,291.595,293.23,302.925
03/06/2009,315.485,292.12,296.77,298.43,308.295
04/06/2009,312.57,289.32,293.94,295.59,305.41
05/06/2009,295.225,273.215,277.58,279.14,288.445
08/06/2009,316.48,293.145,297.825,299.48,309.31
09/06/2009,319.375,295.875,300.6,302.265,312.16
10/06/2009,317.43,294.03,298.72,300.385,310.24
11/06/2009,319.43,295.935,300.67,302.34,312.235
12/06/2009,319.67,296.085,300.83,302.5,312.435
15/06/2009,325.24,301.175,306.01,307.71,317.855
16/06/2009,335.195,310.385,315.375,317.13,327.757
17/06/2009,362.28,335.635,341.025,342.915,354.135
18/06/2009,359.55,333.05,338.405,340.28,351.435
19/06/2009,351.28,325.435,330.67,332.5,343.37
22/06/2009,364.59,338.815,343.805,345.745,356.545
23/06/2009,372.525,346.18,351.285,353.27,364.305
24/06/2009,359.27,333.715,338.65,340.565,351.275
25/06/2009,348.2,323.35,328.14,330,340.425
26/06/2009,323.37,237.42,300.79,320,321.98
29/06/2009,325.01,238.545,302.395,321.66,323.625
30/06/2009,319.795,234.66,297.57,316.535,318.45
01/07/2009,314.11,230.45,292.29,310.93,312.8
02/07/2009,310.605,227.835,289.07,307.5,309.325
03/07/2009,315.625,231.475,293.77,312.5,314.34
06/07/2009,318.085,233.22,296.175,315,316.82
07/07/2009,323.215,236.975,300.975,320.085,321.93
08/07/2009,331.455,243.005,308.66,328.25,330.14
09/07/2009,302.39,221.505,281.595,299.555,301.225
10/07/2009,306.865,224.795,285.81,303.99,305.685
13/07/2009,310.425,227.32,289.18,307.565,309.255
14/07/2009,301.59,220.82,280.99,298.83,300.46
15/07/2009,290.98,213.03,271.145,288.35,289.9
16/07/2009,284.89,208.565,265.5,282.32,283.84
17/07/2009,288.405,211.115,268.815,285.83,287.35
20/07/2009,271.975,198.985,253.575,269.62,271.015
21/07/2009,253.75,185.545,236.6,251.6,252.875
22/07/2009,259.68,189.86,242.145,257.5,258.79
23/07/2009,252.09,184.27,235.095,250,251.235
24/07/2009,240.68,175.905,224.475,238.7,239.875
27/07/2009,233.355,170.47,217.725,231.5,232.605
28/07/2009,226.535,165.475,211.375,224.75,225.815
29/07/2009,227.53,166.18,212.325,225.74,226.805
30/07/2009,212.13,154.875,197.965,210.5,211.47
31/07/2009,201.52,147.09,188.08,200,200.9
03/08/2009,198.34,144.69,185.17,196.895,197.76
04/08/2009,200.605,146.365,187.3,199.13,200.01
05/08/2009,206.7,150.82,193.01,205.18,206.085
06/08/2009,208.68,152.27,194.88,207.15,208.065
07/08/2009,206.72,150.82,193.08,205.23,206.12
10/08/2009,197.89,144.345,184.895,196.5,197.33
11/08/2009,205.565,149.935,192.09,204.13,204.985
12/08/2009,221.05,161.23,206.57,219.5,220.425
13/08/2009,207.325,151.155,193.77,205.92,206.755
14/08/2009,210.995,153.8,197.225,209.585,210.435
17/08/2009,225.695,164.495,211.035,224.21,225.105
18/08/2009,219.485,159.915,205.24,218.08,218.925
19/08/2009,226.215,164.84,211.55,224.75,225.625
20/08/2009,221.515,161.375,207.185,220.11,220.955
21/08/2009,221.545,161.385,207.235,220.15,220.985
24/08/2009,207.76,151.29,194.405,206.5,207.255
25/08/2009,213.195,155.225,199.52,211.92,212.69
26/08/2009,210.595,153.305,197.11,209.36,210.105
27/08/2009,214.11,155.855,200.415,212.86,213.615
28/08/2009,211.34,153.82,197.855,210.13,210.86
31/08/2009,217.295,158.115,203.5,216.085,216.815
01/09/2009,229.525,167.02,214.975,228.245,229.02
02/09/2009,234.615,170.705,219.765,233.33,234.11
03/09/2009,225.275,163.85,211.04,224.08,224.805
04/09/2009,223.1,162.25,209.035,221.93,222.64
07/09/2009,212.49,154.475,199.16,211.425,212.07
08/09/2009,204.47,148.61,191.665,203.48,204.08
09/09/2009,201.74,146.61,189.135,200.78,201.365
10/09/2009,196.21,142.555,183.985,195.3,195.855
11/09/2009,196.095,142.445,183.905,195.215,195.755
14/09/2009,199.26,144.71,186.92,198.385,198.92
15/09/2009,200.37,165.1,183.785,193.115,197.305
16/09/2009,181.42,149.415,166.365,174.835,178.64
17/09/2009,176.735,145.55,162.07,170.32,174.02
18/09/2009,179.575,147.855,164.66,173.05,176.82
21/09/2009,184.255,152.61,168.555,177.205,181.235
22/09/2009,184.34,152.685,168.655,177.305,181.33
23/09/2009,178.575,147.865,163.36,171.755,175.655
24/09/2009,191.47,158.565,175.18,184.17,188.345
25/09/2009,193.785,160.46,177.295,186.4,190.625
28/09/2009,206.35,154.495,174.36,191.795,200.14
29/09/2009,201.14,150.505,169.89,186.915,195.07
30/09/2009,198.87,119.17,151.065,186.5,193.575
01/10/2009,207.155,124.19,157.435,194.315,201.67
02/10/2009,215.605,129.22,163.855,202.25,209.895
05/10/2009,207.435,124.235,157.635,194.62,201.96
06/10/2009,197,117.91,149.66,184.835,191.8
07/10/2009,212.785,115.205,146.265,180.675,199.145
08/10/2009,198.44,107.205,136.175,168.365,185.66
09/10/2009,202.33,109.35,138.92,171.72,189.34
12/10/2009,202.235,109.405,139.03,171.76,189.31
13/10/2009,202.615,109.565,139.27,172.075,189.655
14/10/2009,198.295,107.145,136.235,168.37,185.595
15/10/2009,189.945,102.575,130.465,161.275,177.785
16/10/2009,192.175,103.835,132.07,163.215,179.89
19/10/2009,194.855,105.23,133.915,165.505,182.41
20/10/2009,197.28,106.52,135.59,167.575,184.68
21/10/2009,209.955,113.43,144.405,178.435,196.595
22/10/2009,218.09,117.945,150.155,185.455,204.275
23/10/2009,204.445,110.425,140.64,173.775,191.455
26/10/2009,202.33,109.275,139.24,172.02,189.49
27/10/2009,212.675,114.985,146.52,180.95,199.265
28/10/2009,225.85,122.14,155.67,192.225,211.64
29/10/2009,231.7,125.305,159.73,197.25,217.15
30/10/2009,226.16,122.3,155.93,192.54,211.96
02/11/2009,244.89,132.51,169.02,208.625,229.595
03/11/2009,252.24,136.6,174.245,215.005,236.555
04/11/2009,244,132.05,168.49,207.945,228.805
05/11/2009,248.195,134.38,171.49,211.605,232.79
06/11/2009,244.175,132.115,168.66,208.165,229.025
09/11/2009,229.265,123.78,158.16,195.35,214.99
10/11/2009,229.25,123.725,158.125,195.325,214.965
11/11/2009,227.14,122.52,156.625,193.505,212.985
12/11/2009,230.9,124.565,159.275,193.765,216.54
13/11/2009,227.4,122.565,156.76,193.715,213.22
16/11/2009,219.98,118.415,151.555,187.35,206.235
17/11/2009,221.84,119.34,152.785,188.905,207.965
18/11/2009,223.94,120.45,154.235,190.715,209.955
19/11/2009,233.32,125.6,160.85,198.825,218.82
20/11/2009,232.175,124.94,160.06,197.865,217.75
23/11/2009,230.035,123.735,158.595,196.06,215.755
24/11/2009,236.17,127.07,162.89,201.345,221.545
25/11/2009,237.195,127.56,163.565,202.215,222.515
26/11/2009,265.905,143.285,183.69,226.905,249.55
27/11/2009,279.475,150.755,193.285,238.645,262.37
30/11/2009,267.65,144.09,184.88,228.41,251.205
01/12/2009,250.83,134.79,173.035,213.92,235.345
02/12/2009,245.19,131.75,169.18,209.155,230.08
03/12/2009,241.92,129.955,166.915,206.37,227.02
04/12/2009,240.83,129.395,166.215,205.485,226.015
07/12/2009,236.68,127.18,163.445,201.995,222.15
08/12/2009,236.035,126.75,162.955,201.435,221.54
09/12/2009,233.97,125.55,161.47,199.66,219.61
10/12/2009,231.83,124.38,159.985,197.835,217.595
11/12/2009,230.935,123.9,159.415,197.12,216.785
14/12/2009,222.935,119.525,153.885,190.295,209.275
15/12/2009,219.375,117.57,151.405,187.23,205.915
16/12/2009,218.26,116.995,150.68,186.315,204.885
17/12/2009,221.02,118.485,152.635,188.725,207.505
18/12/2009,222.85,119.35,153.815,190.235,209.2
21/12/2009,226.39,123.25,155.96,192.355,211.995
22/12/2009,226.355,123.365,156.105,192.44,212.025
23/12/2009,224.1,122.155,154.6,190.57,209.94
24/12/2009,226.555,123.505,156.315,192.665,212.235
25/12/2009,226.6,123.5,156.3,192.7,212.2
28/12/2009,222.88,121.365,153.69,189.535,208.715
29/12/2009,225.725,122.95,155.735,192.025,211.425
30/12/2009,223.405,121.63,154.07,189.99,209.21
31/12/2009,221.1,120.295,152.42,187.995,207.035
01/01/2010,221.1,120.3,152.4,188,207
04/01/2010,223.62,121.65,154.185,190.185,209.395
05/01/2010,217.75,118.31,150.015,185.145,203.875
06/01/2010,215.12,116.75,148.095,182.855,201.385
07/01/2010,217.365,118.03,149.745,184.85,203.54
08/01/2010,216.23,117.4,148.98,183.9,202.48
11/01/2010,216.135,117.265,148.9,183.83,202.395
12/01/2010,220.91,119.885,152.262,187.965,206.92
13/01/2010,220.365,119.46,151.77,187.43,206.365
14/01/2010,224.87,121.995,155.005,191.37,210.65
15/01/2010,220.26,119.365,151.71,187.375,206.3
18/01/2010,224.285,121.485,154.5,190.835,210.09
19/01/2010,220.325,119.27,151.735,187.435,206.355
20/01/2010,224.43,121.545,154.635,190.99,210.24
21/01/2010,231.13,125.185,159.28,196.73,216.45
22/01/2010,243.13,131.755,167.665,207.025,227.83
25/01/2010,226.84,122.685,156.25,193.055,212.51
26/01/2010,227.975,123.3,157.065,194.06,213.6
27/01/2010,225.955,122.155,155.645,192.335,211.71
28/01/2010,216.335,116.85,148.935,184.08,202.665
29/01/2010,228.55,103.715,144.71,189.505,211.5
01/02/2010,232.465,105.435,147.215,192.795,215.15
