tanggal_lelang_pricing,tanggal_setelmen,metode,seri,code,jatuh_tempo,kupon_imbalan,lowest_incoming_yield_price,way_incoming,highest_incoming_yield_price,lowest_awarded_yield_price,way_awarded,highest_awarded_yield_price,target_penerbitan,total_penawaran,jumlah_penawaran_per_lelang,total_penawaran_memenuhi_benchmark,jumlah_penawaran_memenuhi_benchmark_per_lelang,total_penawaran_diterima,jumlah_penawaran_diterima_per_lelang,bid_to_cover_ratio,owners_estimate,tenor,,
2020-02-18,2020-02-20,Lelang,FR0080,bm15,2035-06-15,0.075,0.0699,0.0702765,0.071,0.0699,0.0700992,0.0702,15000000,16795700,127119700,3850000,39530000,3850000,18500000,4.362519480519481,0.0701,15.321013,,
2020-02-18,2020-02-20,Lelang,FR0083,bm20,2040-04-15,0.075,0.0724,0.0728693,0.0733,0.0724,0.0726533,0.0727,15000000,9176000,127119700,2200000,39530000,1500000,18500000,6.117333333333334,0.0727,20.15408682,,
2020-02-18,2020-02-20,Lelang,FR0076,bm30,2048-05-15,0.07375,0.0743,0.0748375,0.076,0.0743,0.0746422,0.0748,15000000,5203000,127119700,4100000,39530000,2700000,18500000,1.927037037037037,0.0748,28.23619371,,
2020-03-03,2020-03-05,Lelang,SPN03200604,spn03m,2020-06-04,Diskonto,0.0285,0.031703,0.034,0.0285,0.02901,0.0295,15000000,10815000,78413500,3000000,29950000,1500000,17500000,7.21,0.03,0.254098361,,
2020-03-03,2020-03-05,Lelang,SPN12210304,spn12m,2021-03-04,Diskonto,0.032,0.0356253,0.04,0.032,0.03254,0.033,15000000,17650000,78413500,7500000,29950000,1500000,17500000,11.766666666666667,0.036,1.001367989,,
2020-03-03,2020-03-05,Lelang,FR0081,bm05,2025-06-15,0.065,0.0599,0.0605855,0.062,0.0599,0.060183,0.0603,15000000,19319000,78413500,8750000,29950000,4550000,17500000,4.245934065934066,0.0603,5.282846715,,
2020-03-03,2020-03-05,Lelang,FR0082,bm10,2030-09-15,0.07,0.0673,0.0688436,0.0703,0.0673,0.0677,0.068,15000000,17915000,78413500,3800000,29950000,3800000,17500000,4.714473684210526,0.0677,10.53459433,,
2020-03-03,2020-03-05,Lelang,FR0080,bm15,2035-06-15,0.075,0.0733,0.074226,0.076,0.0733,0.0736739,0.0737,15000000,7351500,78413500,3650000,29950000,3200000,17500000,2.29734375,0.0737,15.28268309,,
2020-03-03,2020-03-05,Lelang,FR0083,bm20,2040-04-15,0.075,0.0749,0.0751396,0.0763,0.0749,0.0749768,0.075,15000000,3079800,78413500,2500000,29950000,2250000,17500000,1.3688,0.075,20.11576066,,
2020-03-03,2020-03-05,Lelang,FR0076,bm30,2048-05-15,0.07375,0.076,0.0768994,0.0775,0.076,0.0764744,0.0767,15000000,2283200,78413500,750000,29950000,700000,17500000,3.2617142857142856,0.0765,28.19786652,,
2020-03-17,2020-03-19,Lelang,SPN12200619,spn03m,2020-06-19,Diskonto,0.026,0.0293455,0.032,0.026,0.0276529,0.0294,15000000,11240000,51307800,8480000,25980000,3100000,17050000,3.625806451612904,0.0294,0.256830601,,
2020-03-17,2020-03-19,Lelang,SPN12210304,spn12m,2021-03-04,Diskonto,0.0305,0.0338514,0.036,0.0305,0.0335156,0.035,15000000,18200000,51307800,6600000,25980000,6400000,17050000,2.84375,0.0336,0.964383562,,
2020-03-17,2020-03-19,Lelang,FR0081,bm05,2025-06-15,0.065,0.0669,0.0680562,0.071,0.0669,0.0671041,0.0673,15000000,10412000,51307800,4650000,25980000,3500000,17050000,2.974857142857142,0.0673,5.244525547,,
2020-03-17,2020-03-19,Lelang,FR0082,bm10,2030-09-15,0.07,0.0742,0.0756482,0.0775,0.0742,0.0747397,0.075,15000000,7427100,51307800,4500000,25980000,2600000,17050000,2.856576923076923,0.075,10.4962668,,
2020-03-17,2020-03-19,Lelang,FR0080,bm15,2035-06-15,0.075,0.0762,0.0777684,0.08,0.0762,0.0769262,0.0771,15000000,2009400,51307800,1050000,25980000,850000,17050000,2.364,0.0771,15.24435318,,
2020-03-17,2020-03-19,Lelang,FR0083,bm20,2040-04-15,0.075,0.0775,0.0804664,0.0825,0.0775,0.0783695,0.0785,15000000,1263800,51307800,600000,25980000,600000,17050000,2.106333333333333,0.0784,20.07743449,,
