tanggal_lelang_pricing,code,tenor,ust_10y,ust_2y,vix,move,dxy,ndf_1m,ndf_12m,idr_regn,ust_3m,xau_gold,inflation,slope_10y_2y,slope_2y_3m,cds_5y,indo_10y,tenor_x_ust10y,vix_x_move,prev_owners_estimate_code,prev_way_awarded_code,days_since_prev_auction_code,auctions_since_prev_code,prev_bid_to_cover_ratio_code,prev_total_penawaran_code,prev_total_penawaran_diterima_code
18/02/2026,spn01m,0.087671233,4.06,3.436,20.29,68.84,97.155,0.154403468,1.460894352,16839,3.677,4877.89,3.55,0.624,-0.241,81.895,6.399799,0.355945205,1396.7636,4.48,4.48,15,8,1.716129032,2660000,1550000
18/02/2026,spn03m,0.252054795,4.06,3.436,20.29,68.84,97.155,0.154403468,1.460894352,16839,3.677,4877.89,3.55,0.624,-0.241,81.895,6.399799,1.023342466,1396.7636,4.5,4.5,15,144,4.8,2400000,500000
18/02/2026,spn12m,0.961643836,4.06,3.436,20.29,68.84,97.155,0.154403468,1.460894352,16839,3.677,4877.89,3.55,0.624,-0.241,81.895,6.399799,3.904273973,1396.7636,4.65,4.61,15,144,1.384,6920000,5000000
18/02/2026,bm05,5.068918302,4.06,3.436,20.29,68.84,97.155,0.154403468,1.460894352,16839,3.677,4877.89,3.55,0.624,-0.241,81.895,6.399799,20.57980831,1396.7636,5.71,5.70605,15,144,4.129430894,25396000,6150000
18/02/2026,bm10,10.15405674,4.06,3.436,20.29,68.84,97.155,0.154403468,1.460894352,16839,3.677,4877.89,3.55,0.624,-0.241,81.895,6.399799,41.22547038,1396.7636,6.32,6.31996,15,144,1.962142857,20602500,10500000
18/02/2026,bm15,14.48804526,4.06,3.436,20.29,68.84,97.155,0.154403468,1.460894352,16839,3.677,4877.89,3.55,0.624,-0.241,81.895,6.399799,58.82146377,1396.7636,6.54,6.53998,15,144,1.239017857,6938500,5600000
18/02/2026,bm20,19.4880219,4.06,3.436,20.29,68.84,97.155,0.154403468,1.460894352,16839,3.677,4877.89,3.55,0.624,-0.241,81.895,6.399799,79.12136893,1396.7636,6.59,6.58795,15,144,3.935238095,4132000,1050000
18/02/2026,bm30,28.40313444,4.06,3.436,20.29,68.84,97.155,0.154403468,1.460894352,16839,3.677,4877.89,3.55,0.624,-0.241,81.895,6.399799,115.3167258,1396.7636,6.75,6.74989,15,144,1.352321429,3786500,2800000
18/02/2026,bm40,38.403159,4.06,3.436,20.29,68.84,97.155,0.154403468,1.460894352,16839,3.677,4877.89,3.55,0.624,-0.241,81.895,6.399799,155.9168256,1396.7636,6.79,6.78996,15,30,1.315719298,3749800,2850000
