tanggal_lelang_pricing,code,tenor,ust_10y,ust_2y,vix,move,dxy,ndf_1m,ndf_12m,idr_regn,ust_3m,xau_gold,inflation,slope_10y_2y,slope_2y_3m,cds_5y,indo_10y,tenor_x_ust10y,vix_x_move,prev_owners_estimate_code,prev_way_awarded_code,days_since_prev_auction_code,auctions_since_prev_code,prev_bid_to_cover_ratio_code,prev_total_penawaran_code,prev_total_penawaran_diterima_code
03/03/2026,spn01m,,4.036,3.476,21.44,73.21,98.381,,,16861,3.671,5322.12,4.76,,,,,,,,,,,,,
03/03/2026,spn03m,,4.036,3.476,21.44,73.21,98.381,,,16861,3.671,5322.12,4.76,,,,,,,,,,,,,
03/03/2026,spn12m,,4.036,3.476,21.44,73.21,98.381,,,16861,3.671,5322.12,4.76,,,,,,,,,,,,,
03/03/2026,bm05,,4.036,3.476,21.44,73.21,98.381,,,16861,3.671,5322.12,4.76,,,,,,,,,,,,,
03/03/2026,bm10,,4.036,3.476,21.44,73.21,98.381,,,16861,3.671,5322.12,4.76,,,,,,,,,,,,,
03/03/2026,bm15,,4.036,3.476,21.44,73.21,98.381,,,16861,3.671,5322.12,4.76,,,,,,,,,,,,,
03/03/2026,bm20,,4.036,3.476,21.44,73.21,98.381,,,16861,3.671,5322.12,4.76,,,,,,,,,,,,,
03/03/2026,bm30,,4.036,3.476,21.44,73.21,98.381,,,16861,3.671,5322.12,4.76,,,,,,,,,,,,,
03/03/2026,bm40,,4.036,3.476,21.44,73.21,98.381,,,16861,3.671,5322.12,4.76,,,,,,,,,,,,,
