iter	RMSE
460	0.06792808374
461	0.06781270877
462	0.06768780279
463	0.0675721604
464	0.06741065046
465	0.06731623318
466	0.0672512719
467	0.06722907191
468	0.06712230698
469	0.06701531356
470	0.06687246538
471	0.06684990683
472	0.06676535562
473	0.06662166084
474	0.06647992453
475	0.06645742782
476	0.06631632661
477	0.06624323572
478	0.06614798282
479	0.06608401357
480	0.066001794
481	0.06589523144
482	0.06570559365
483	0.06555877878
484	0.06554129586
485	0.06544676398
486	0.06535091436
487	0.06516488577
488	0.06506973175
489	0.06495396345
490	0.06480412634
491	0.06470962737
492	0.06463619877
493	0.06455729442
494	0.06444891991
495	0.06431353826
496	0.0642771536
497	0.06420700288
498	0.06418628726
499	0.06412520028
