model,test_date,n_train,n_test,n_base_features,MAE,RMSE,MAPE_pct,R2
LightGBM,2026-02-03,1047,9,9,0.10146372316932803,0.12357334871058563,1.883643337999056,0.9845397913961385
XGBoost,2026-02-03,1047,9,9,0.10065954420301665,0.1371599004594262,2.0059249707631497,0.9809532868804204
CatBoost,2026-02-03,1047,9,9,0.11447991226856649,0.14413643825743552,2.220311981356141,0.9789664155229935
OLS Stepwise,2026-02-03,1047,9,12,0.12525509437058327,0.14792817663754104,2.3598142328751917,0.9778452156865922
RandomForest,2026-02-03,1047,9,9,0.12683999999999981,0.1680699116439331,2.5805114236319397,0.971401341519448
QuantileReg_tau0.5,2026-02-03,1047,9,9,0.4249423048781567,0.6452080522303588,9.240014460353645,0.5785313505876559
